# STEP_NO SUBSYSTEMS FINAL_ITERATIONS STEP_SECONDS
426 119 8 0.727000
427 119 6 0.556000
428 119 5 0.478000
429 120 6 0.565000
430 120 7 0.644000
431 117 6 0.585000
432 118 6 0.562000
433 118 6 0.561000
434 118 6 0.574000
435 118 7 0.679000
436 120 7 0.663000
437 120 7 0.661000
438 120 6 0.577000
439 120 5 0.488000
440 121 6 0.565000
441 120 5 0.479000
442 122 7 0.683000
443 122 7 0.685000
444 122 7 0.651000
445 122 7 0.620000
446 121 7 0.658000
447 122 7 0.671000
448 120 7 0.690000
449 122 7 0.694000
450 121 7 0.679000
451 121 7 0.711000
452 121 7 0.654000
453 116 7 0.650000
454 117 7 0.646000
455 116 6 0.547000
456 120 7 0.679000
457 120 7 0.660000
458 120 7 0.651000
459 121 7 0.706000
460 121 7 0.668000
461 121 7 0.696000
462 120 7 0.691000
463 124 7 0.697000
464 123 7 0.711000
465 122 7 0.694000
466 122 7 0.686000
467 123 7 0.697000
468 123 6 0.611000
469 122 7 0.695000
470 123 6 0.598000
471 123 7 0.696000
472 121 7 0.694000
473 121 7 0.694000
474 119 6 0.611000
475 120 7 0.691000
476 119 7 0.698000
477 119 7 0.706000
478 121 7 0.701000
479 121 7 0.703000
480 121 6 0.626000
481 120 6 0.603000
482 122 6 0.589000
483 121 7 0.695000
484 121 7 0.660000
485 121 7 0.694000
486 120 7 0.709000
487 121 7 0.691000
488 119 7 0.657000
489 121 7 0.709000
490 122 6 0.606000
491 123 6 0.596000
492 124 6 0.559000
493 124 5 0.503000
494 125 5 0.489000
495 124 7 0.679000
496 123 7 0.676000
497 120 7 0.705000
498 119 7 0.703000
499 118 7 0.701000
500 117 6 0.604000
501 117 6 0.582000
502 118 7 0.678000
503 114 6 0.591000
504 113 6 0.586000
505 113 5 0.506000
506 113 6 0.588000
507 111 7 0.665000
508 116 7 0.684000
509 116 6 0.607000
510 115 7 0.669000
511 114 6 0.592000
512 114 7 0.652000
513 113 7 0.659000
514 113 6 0.600000
515 110 5 0.470000
516 109 7 0.649000
517 111 7 0.653000
518 113 7 0.647000
519 113 7 0.639000
520 113 7 0.639000
521 113 7 0.631000
522 113 7 0.627000
523 113 7 0.627000
524 113 7 0.635000
525 113 7 0.637000
526 113 7 0.682000
527 112 7 0.644000
528 112 7 0.633000
529 112 7 0.642000
530 111 7 0.640000
531 111 7 0.628000
532 111 6 0.540000
533 111 7 0.625000
534 112 7 0.636000
535 112 7 0.633000
536 113 7 0.660000
537 115 7 0.656000
538 114 7 0.632000
539 114 7 0.653000
540 113 7 0.636000
541 113 7 0.650000
542 113 7 0.636000
543 113 6 0.554000
544 116 7 0.681000
545 116 7 0.695000
546 116 7 0.701000
547 116 7 0.668000
548 116 6 0.580000
549 116 6 0.613000
550 116 5 0.497000
551 109 6 0.616000
552 108 7 0.709000
553 108 7 0.707000
554 107 6 0.607000
555 107 6 0.603000
556 107 6 0.614000
557 107 6 0.618000
558 106 7 0.693000
559 107 7 0.692000
560 110 7 0.688000
561 109 7 0.687000
562 109 7 0.694000
563 110 7 0.688000
564 110 7 0.689000
565 110 6 0.603000
566 114 6 0.602000
567 114 6 0.581000
568 114 6 0.579000
569 112 6 0.582000
570 112 7 0.665000
571 112 6 0.580000
572 112 7 0.673000
573 112 7 0.672000
574 112 7 0.668000
575 112 7 0.662000
576 112 7 0.674000
577 114 7 0.668000
578 113 7 0.738000
579 115 7 0.666000
580 115 7 0.660000
581 116 6 0.547000
582 116 7 0.629000
583 116 7 0.626000
584 116 6 0.544000
585 116 6 0.549000
586 116 7 0.642000
587 116 7 0.661000
588 116 7 0.640000
589 116 8 0.726000
590 116 6 0.595000
591 116 6 0.575000
