# STEP_NO SUBSYSTEMS FINAL_ITERATIONS STEP_SECONDS
540 234 7 1.330000
541 234 8 1.500000
542 232 8 1.505000
543 233 8 1.522000
544 232 8 1.496000
545 233 8 1.535000
546 233 8 1.509000
547 235 8 1.485000
548 235 8 1.477000
549 235 8 1.524000
550 235 7 1.318000
551 235 8 1.520000
552 235 8 1.500000
553 234 7 1.313000
554 234 7 1.323000
555 235 8 1.483000
556 234 8 1.487000
557 233 7 1.321000
558 228 7 1.319000
559 228 7 1.341000
560 229 7 1.341000
561 233 8 1.510000
562 232 8 1.525000
563 232 8 1.515000
564 232 7 1.335000
565 232 7 1.333000
566 234 7 1.313000
567 233 7 1.336000
568 234 8 1.491000
569 235 8 1.484000
570 235 7 1.313000
571 232 8 1.497000
572 232 8 1.514000
573 230 8 1.543000
574 231 7 1.349000
575 231 8 1.494000
576 232 8 1.497000
577 232 7 1.337000
578 232 6 1.176000
579 233 8 1.512000
580 234 9 1.670000
581 234 8 1.519000
582 243 7 1.312000
583 244 8 1.517000
584 245 8 1.505000
585 248 8 1.475000
586 247 7 1.298000
587 248 7 1.300000
588 248 6 1.136000
589 248 7 1.321000
590 246 6 1.136000
591 246 8 1.489000
592 246 8 1.497000
593 246 8 1.486000
594 246 8 1.507000
595 242 7 1.334000
596 243 7 1.335000
597 240 8 1.474000
598 240 7 1.306000
599 243 7 1.303000
600 242 8 1.449000
601 240 9 1.621000
602 240 7 1.307000
603 242 7 1.279000
604 242 8 1.485000
605 243 8 1.480000
606 242 8 1.477000
607 242 8 1.494000
608 243 8 1.490000
609 244 8 1.467000
610 245 7 1.366000
611 244 8 1.527000
612 244 8 1.560000
613 244 7 1.347000
614 244 8 1.536000
615 244 8 1.540000
616 243 8 1.535000
617 243 8 1.484000
618 241 8 1.490000
619 240 8 1.499000
620 240 7 1.336000
621 240 7 1.328000
622 244 8 1.527000
623 243 8 1.510000
624 244 8 1.516000
625 244 8 1.534000
626 240 8 1.523000
627 242 8 1.500000
628 241 8 1.497000
629 243 8 1.530000
630 242 9 1.685000
631 242 9 1.684000
