# STEP_NO SUBSYSTEMS FINAL_ITERATIONS STEP_SECONDS
415 378 23 8.599000
416 387 24 8.903000
417 388 23 8.753000
418 386 23 8.462000
419 389 21 7.529000
420 388 22 8.179000
421 389 22 8.235000
422 388 22 8.179000
423 390 24 8.989000
424 387 21 7.812000
425 387 21 7.597000
426 387 22 8.357000
427 392 22 8.225000
428 391 20 7.676000
429 392 20 7.549000
430 390 21 7.803000
431 389 23 8.464000
432 389 22 7.837000
433 388 22 7.793000
434 387 19 6.705000
435 387 15 5.355000
436 383 19 6.633000
437 384 18 6.296000
438 384 15 5.324000
439 384 20 6.984000
440 386 20 6.967000
441 386 19 6.614000
442 386 18 6.309000
443 386 18 6.360000
444 384 14 4.979000
445 384 16 5.656000
446 386 22 7.651000
447 384 22 7.647000
448 385 19 6.686000
449 385 19 6.610000
450 387 18 6.441000
451 386 22 7.615000
452 387 23 8.035000
453 385 24 8.216000
454 387 22 7.514000
455 388 22 7.570000
456 389 11 3.979000
457 372 21 7.313000
458 372 22 7.933000
459 374 21 7.543000
460 374 19 6.912000
461 375 20 7.207000
462 375 20 7.180000
463 375 13 4.787000
464 373 20 7.210000
465 373 17 6.059000
466 377 20 7.186000
467 378 22 7.597000
468 379 21 7.536000
469 385 19 6.984000
470 384 21 7.863000
471 384 20 7.517000
472 383 19 7.233000
473 384 21 7.947000
474 386 22 8.243000
475 386 21 7.712000
476 379 19 6.953000
477 383 18 6.802000
478 390 19 7.137000
479 389 16 5.987000
480 388 22 8.128000
481 388 23 8.247000
482 389 20 7.116000
483 389 21 7.614000
484 392 21 7.818000
485 391 22 8.194000
486 389 16 6.050000
487 389 18 6.635000
488 386 23 8.206000
489 388 23 8.254000
490 389 18 6.571000
491 391 21 7.646000
492 391 20 7.291000
493 383 20 7.560000
494 383 20 7.379000
495 381 19 6.934000
496 381 19 7.046000
497 385 16 6.158000
498 386 17 6.436000
499 386 13 4.985000
500 388 20 7.533000
501 388 20 7.478000
502 387 20 7.276000
503 384 19 6.998000
504 385 19 7.148000
505 385 18 6.816000
506 386 21 7.808000
507 387 20 7.581000
508 389 17 6.273000
509 388 18 6.650000
510 386 19 6.799000
511 388 20 7.188000
512 391 21 7.342000
513 392 21 7.349000
514 392 20 7.054000
515 393 18 6.399000
516 393 19 6.812000
517 392 16 5.682000
518 392 20 6.963000
519 391 19 6.580000
520 389 19 6.582000
521 388 22 7.491000
522 392 21 7.317000
523 393 20 6.975000
524 394 18 6.295000
525 392 18 6.323000
526 391 14 4.974000
527 390 16 5.599000
528 389 17 5.989000
529 388 16 5.613000
530 387 19 6.719000
531 387 20 7.088000
532 387 16 5.637000
533 386 16 5.594000
534 386 18 6.263000
535 386 14 4.994000
536 386 15 5.285000
537 386 17 5.885000
538 389 18 6.376000
539 388 19 6.803000
540 387 17 6.089000
541 386 18 6.608000
542 387 19 6.778000
