# STEP_NO SUBSYSTEMS FINAL_ITERATIONS STEP_SECONDS
580 299 20 5.191000
581 299 23 5.924000
582 300 22 5.610000
583 301 22 5.651000
584 301 21 5.417000
585 301 20 5.175000
586 302 20 5.184000
587 302 21 5.420000
588 303 20 5.156000
589 300 23 5.888000
590 300 23 5.966000
591 299 20 5.200000
592 300 18 4.701000
593 300 18 4.656000
594 301 19 4.891000
595 304 20 5.102000
596 300 23 5.957000
597 300 14 3.738000
598 298 21 5.455000
599 300 23 5.994000
600 305 22 5.775000
601 297 25 6.549000
602 298 23 6.050000
603 297 21 5.571000
604 296 18 4.812000
605 296 21 5.606000
606 294 21 5.600000
607 294 20 5.340000
608 294 23 6.125000
609 292 24 6.326000
610 313 21 5.573000
611 312 21 5.601000
612 312 19 5.080000
613 309 19 5.068000
614 309 20 5.304000
615 312 21 5.540000
616 311 17 4.542000
617 311 21 5.562000
618 309 19 5.083000
619 309 20 5.304000
620 308 21 5.518000
621 307 21 5.568000
622 307 21 5.496000
623 307 21 5.513000
624 306 20 5.381000
625 308 22 5.855000
626 311 20 5.398000
627 312 25 6.678000
628 313 23 6.151000
629 314 22 5.851000
630 314 24 6.387000
631 313 24 6.436000
632 313 22 5.879000
633 312 24 6.388000
634 312 22 5.868000
635 313 25 6.562000
636 312 22 5.884000
637 312 22 5.956000
638 313 24 6.471000
639 313 25 6.692000
640 314 21 5.616000
641 299 25 6.445000
642 300 25 6.516000
643 297 22 5.878000
644 297 15 4.054000
645 297 19 5.092000
646 298 19 5.061000
647 298 19 5.044000
648 315 21 5.484000
649 314 22 5.740000
650 316 18 4.690000
651 316 19 4.912000
652 318 19 4.944000
653 318 19 4.910000
654 316 18 4.719000
655 317 18 4.685000
656 319 19 4.926000
657 312 21 5.482000
658 310 24 6.205000
659 312 20 5.229000
660 311 20 5.229000
661 312 20 5.247000
662 313 21 5.515000
663 305 15 4.032000
664 307 20 5.342000
665 307 19 5.083000
666 307 21 5.580000
667 307 20 5.322000
668 305 19 5.074000
669 309 19 5.060000
670 312 20 5.291000
671 311 21 5.555000
672 308 24 6.400000
673 307 25 6.591000
674 306 21 5.625000
675 305 22 5.837000
676 304 21 5.543000
677 303 20 5.337000
678 305 19 5.041000
679 305 20 5.298000
680 305 21 5.625000
681 308 22 5.885000
682 309 21 5.569000
683 309 18 4.798000
684 309 18 4.804000
685 308 17 4.566000
686 307 19 5.063000
687 308 18 4.832000
688 308 17 4.530000
